hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
56,711.81,724.4211111,626.044037,662.872963,671.2792593,634.906,676.6736667,681.2185185,650.062963
57,726.7104762,771.9285714,671.9971429,733.7814286,735.9090476,672.4719048,698.3371429,735.32,725.6333333
58,764.0834426,801.582459,704.0329508,737.0903279,765.6636066,731.6396721,748.8334426,773.792459,775.7360656
59,766.315,705.0175,541.45,593.14,661.965,670.3425,765.7175,698.5125,721.86
60,612.5740909,677.3018182,634.605,731.1868182,591.6404545,514.9286364,611.5009091,737.7559091,702.6222727
61,738.0469231,770.3630769,692.1969231,697.5638462,563.3884615,510.2669231,614.8215385,705.9215385,707.8646154
62,664.4890455,666.2704545,579.4376818,606.8163636,593.3125,560.2580227,586.8705,625.1620455,627.8684091
63,769.2236364,751.1990909,641.4545455,647.6154545,643.6763636,625.7297273,675.9990909,729.2827273,744.3272727
64,718.0866667,698.625,622.97,706.185,740.1516667,626.4533333,634.1316667,683.8583333,681.425
65,686.95875,703.4483333,641.1870833,713.8141667,734.1554167,676.1645833,633.9,604.6875,614.76125
66,698.31,702.5495789,614.0678947,637.7073684,628.8174737,575.4684211,587.5947895,636.5421579,663.549
67,712.205,728.785,644.015,708.65,707.59,652.66,581.4,656.77,698.17
68,701.68,730.7155556,602.5022222,638.5646667,608.2411111,552.6602222,590.004,649.4622222,665.0344444
69,678.408,718.4092,643.4156,697.4748,662.5856,632.0884,662.2652,710.7024,692.9464
70,734.997,745.226,650.172,736.548,665.333,582.446,750.878,813.985,739.291
71,753.3916667,679.9916667,595.649,638.7916667,618.5116667,590.3216667,642.0916667,720.9266667,733.925
72,768.3986667,774.1473333,691.9426667,745.8666667,746.7653333,680.1860667,676.9693333,707.676,722.648
73,750.3625,752.5275,657.49,711.605,705.8825,679.12,644.385,702.46,714.0125
74,751.0282353,754.0535294,658.9894118,639.8605882,659.8205882,642.3405882,678.8147059,687.8229412,666.0323529
75,725.3969697,743.4933333,654.2093939,700.1184848,713.5939394,652.6164242,647.5063333,691.6127273,708.5636364
76,732.205,763.3928571,693.7757143,749.5664286,676.4092857,554.88,506.4906429,598.4,687.5957143
77,680.1955556,723.1166667,651.3366667,694.4533333,693.6044444,662.9744444,656.2744444,703.7566667,632.8822222
78,351.996,423.042,465.246,610.104,635.628,606.312,598.574,646.084,586.052
79,752.4366667,796.6722222,681.7144444,726.0244444,700.14,681.1511111,712.3177778,730.2488889,693.0811111
80,719.0414286,740.3252381,664.0333333,708.9314286,667.1647619,627.1609524,664.1647619,722.8690476,715.797381
81,687.3,692.34,612.65,651.58,647.74,593.95,619.68,666.48,670.24
82,706.9953333,659.866,549.5505333,594.1898,595.0706667,570.6687333,600.9542667,637.7773333,611.658
83,688.9,697.484,618.554,658.174,655.504,599.53,625.814,675.252,679.43
84,653.1634615,631.1865385,586.8807692,623.0584615,633.1412692,600.6189615,650.6365385,667.4688462,649.8442308
85,762.0955556,706.18,576.8833333,610.2611111,655.5722222,636.8066667,714.5466667,684.3744444,628.1077778
86,668.77,702.17,603.3342857,607.0128571,607.36,580.4785714,624.6157143,670.7842857,628.0628571
87,680.53,661.1438462,583.4207692,647.28,613.5076923,538.6728462,522.3588462,571.6046154,624.3576923
88,599.2765217,654.8386957,620.3907826,680.1195652,664.3086957,567.8049565,558.9178261,581.8926087,579.076087
