hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
55,751.3655,691.7855,687.1435,680.076,678.7395,678.912,729.4325,699.5625,330.742
56,721.2425926,708.9288889,677.857037,709.9918519,703.39,680.8496296,736.0992593,696.5611111,394.2051852
57,740.1438095,728.0657143,699.1019048,723.4866667,728.7704762,727.2357143,782.832381,736.9647619,608.0442857
58,804.7667213,791.3211475,788.4162295,815.8621311,824.8839344,792.6829508,820.1406557,765.412459,671.0091803
59,782.1225,767.1275,755.3375,778.66,802.4425,786.625,811.2375,753.49,633.12
60,596.3727273,630.9918182,678.7704545,761.0754545,693.2622727,715.7404545,783.6463636,778.5881818,461.3863636
61,749.0638462,759.6246154,760.7992308,702.4846154,657.7730769,604.2230769,672.8930769,645.4184615,628.8176923
62,677.06475,641.08875,619.6749773,631.7954545,660.1138636,641.3645455,671.7720455,618.0202273,395.0527273
63,778.1490909,716.4572727,699.6418182,697.3654545,690.3445455,639.2081818,702.9981818,665.3518182,351.9581818
64,744.5716667,727.7833333,730.7,754.235,796.3366667,712.245,708.6816667,727.4816667,606.1766667
65,688.9370833,662.1858333,680.3954167,743.7654167,761.82625,721.725,743.8695833,680.0383333,544.98125
66,697.4042105,673.1552632,653.5389474,664.4005263,660.5926316,642.2042105,675.1026316,614.7531579,417.4442105
67,731.445,708.285,707.27,754.26,777.63,765.74,788.71,730.45,586.325
68,703.2966667,694.5777778,664.51,704.8733333,737.7688889,722.4533333,736.3255556,599.8688889,519.3855556
69,685.8632,709.4708,721.134,730.3564,716.466,701.3844,736.4108,696.6344,600.7452
70,742.106,721.794,694.33,695.624,614.757,618.755,717.666,682.951,691.304
71,779.78,636.0766667,630.7133333,697.3933333,684.1783333,732.675,777.4433333,716.775,584.8733333
72,772.1806667,730.01,719.6413333,784.7346667,772.4773333,759.858,763.1513333,703.436,289.1586667
73,783.2675,736.375,726.0875,757.2925,781.53,761.3875,776.825,654.6325,582.545
74,757.7047059,723.3705882,684.2305882,670.3023529,697.5211765,695.9817647,760.3717647,692,458.8394118
75,748.0012121,723.8393939,720.5966667,759.9378788,785.4478788,756.9393939,786.4463636,719.4542424,419.2584848
76,706.4835714,686.225,675.7342857,701.7428571,656.775,607.8478571,613.8242857,660.6257143,512.89
77,661.8666667,663.7477778,662.0066667,694.4122222,724.6866667,736.1244444,666.5511111,645.5455556,544.4555556
78,389.85,453.442,544.142,637.844,659.38,620.162,648.97,657.974,605.982
79,759.4266667,782.6955556,756.4388889,753.6388889,783.9855556,793.9533333,819.7411111,755.41,554.16
80,725.3919048,705.3861905,708.5961905,725.5638095,753.9671429,748.8571429,769.9985714,706.3114286,556.3338095
81,699.01,659.39,654.02,680.97,698.76,680.14,701.9,637.8,251.3
82,723.2793333,660.7206667,626.3134667,653.3378667,671.6806667,656.8773333,684.948,630.9906667,310.542
83,702.8,665.054,660.772,687.356,706.886,690.062,712.722,645.432,349.538
84,670.9334615,649.33,672.4176923,664.9826923,663.1826923,644.7503846,663.6311923,675.7646154,430.3261538
