"huc","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"170900070107","24340.87591240876","42321.313868613135","31252.722627737225","34568.667153284674","38395.236496350364","21720.013138686132","16196.014598540147","12033.071532846716","15445.363503649634"
"170900070106","17059.683377308706","33219.87598944591","25856.8654353562","24476.591029023748","27753.625329815302","16380.878627968337","11502.303430079155","9306.870712401056","12298.416886543535"
"170900070105","12326.606837606838","24860.068376068375","17091.80769230769","19007.79487179487","20784.30769230769","12231.02564102564","8013.602564102564","6376.025641025641","8590.957264957266"
"170900070104","12728.455223880597","27508.81094527363","20258.057213930348","20176.34577114428","22669.487562189053","13780.134328358208","7520.20895522388","7246.462686567164","9653.952736318408"
"170900070103","34954.53862212944","57832.73903966597","65976.1649269311","39446.97077244259","44472.15866388309","28405.409185803757","19678.753653444677","23933.68267223382","19151.127348643007"
"170900070102","26888.651416122004","53334.8082788671","38770.882352941175","39999.22004357298","44590.49237472767","26678.21568627451","19526.877995642702","14232.1045751634","18908.516339869282"
"170900070101","15535.685579196217","26802.36643026005","20129.5390070922","22466.74940898345","23410.002364066193","13702.20803782506","10262.09219858156","7680.002364066194","9281.418439716312"
"170900110601","522263.8380952381","687129.1428571428","768487.8952380952","425327.4","460170.6857142857","368444.2761904762","162717.01904761905","297221.3714285714","212907.8"
"170900110603","26143.268292682926","41351.12195121951","25317.201219512193","26423.52743902439","31396.170731707316","17581.161585365855","10882.05487804878","13394.490853658537","13522.420731707318"
"170900110602","45438.32236842105","64581.62280701754","44970.629385964916","44867.59210526316","54990.43421052631","31330.85307017544","19071.723684210527","25889.765350877195","24050.964912280702"
"170900110605","29111.89349112426","44426.78402366864","22980.89644970414","26917.68047337278","28714.029585798817","19870.92603550296","12269.174556213018","10567.343195266272","12979.505917159764"
"170900110604","55998.33464566929","82709.63976377953","52219.78937007874","58829.9468503937","69608.77165354331","38142.65748031496","23514.946850393702","29961.935039370077","33015.93110236221"
"170900110607","25723.68275862069","36380.16827586207","18941.12827586207","23587.09379310345","26091.115862068964","18122.350344827588","10589.928275862068","8701.508965517241","11426.20275862069"
"170900110606","26014.3670411985","37369.247191011236","18607.067415730337","22955.374531835205","26982.4531835206","18772.666666666668","10881.445692883895","9242.606741573034","11745.662921348314"
