"huc","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"170900070107","20335.140145985402","42494.09927007299","31496.490510948905","20229.265693430658","10590.677372262773","153.38832116788322","30290.414598540145","161.42919708029197","4705.667153284671"
"170900070106","16985.8364116095","40814.823218997364","25594.767810026384","20217.562005277046","8351.282321899736","519.7361477572559","28616.303430079155","293.36675461741424","4170.076517150395"
"170900070105","11827.803418803418","24712.08547008547","18368.41452991453","11251.149572649572","6070.363247863248","14.405982905982906","17507.119658119656","46.705128205128204","2845.059829059829"
"170900070104","14170.748756218905","31845.5","21553.430348258706","15904.634328358208","6921.972636815921","60.39303482587065","23374.440298507463","144.1318407960199","3412.0248756218907"
"170900070103","30725.68267223382","63611.594989561585","37140.1127348643","29982.9248434238","13915.605427974948","2988.9164926931107","46812.49478079332","2828.3799582463466","5878.964509394572"
"170900070102","26253.298474945535","56114.80392156863","40317.50326797386","26190.115468409585","13410.675381263616","230.24183006535947","38258.9302832244","147.5054466230937","6558.363834422658"
"170900070101","12751.7304964539","23166.586288416074","20272.07328605201","13179.690307328605","6504.255319148936","132.4208037825059","17885.30023640662","73.41843971631205","2979.399527186761"
"170900110601","207610.69047619047","430693.73333333334","265699.20952380955","182791.0380952381","156378.28095238094","35072.89047619048","257200.3619047619","57195.36190476191","84583.54761904762"
"170900110603","14417.716463414634","33209.76829268293","17376.625","18769.432926829268","8008.1890243902435","1488.0457317073171","28925.338414634145","955.6981707317074","3003.6951219512193"
"170900110602","23812.00657894737","56353.05263157895","30861.620614035088","29169.342105263157","14671.712719298246","2756.1337719298244","48108.850877192985","2580.8289473684213","5934.017543859649"
"170900110605","14727.85798816568","31649.452662721895","20471.30769230769","20438.062130177514","7643.532544378698","526.2307692307693","29551.665680473372","473.9674556213018","3298.112426035503"
"170900110604","31037.931102362203","69048.13582677166","41111.43110236221","38097.87401574803","20301.931102362203","3803.702755905512","64104.0905511811","2854.5551181102364","7286.084645669292"
"170900110607","13593.742068965517","25639.524137931036","19311.784827586205","16565.732413793103","6784.804137931034","330.79172413793106","26806.696551724137","354.5544827586207","2634.3806896551723"
